locus_name	symbol	full_name
AT1G68740	PHO1;H1	
AT1G68750	ATPPC4	phosphoenolpyruvate carboxylase 4
AT1G68750	PPC4	phosphoenolpyruvate carboxylase 4
AT1G68760	ATNUDT1	ARABIDOPSIS THALIANA NUDIX HYDROLASE HOMOLOG 1
AT1G68760	ATNUDX1	nudix hydrolase  1
AT1G68760	NUDX1	nudix hydrolase  1
AT1G68760	NUDX1	NUDIX HYDROLASE 1
AT1G68765	IDA	INFLORESCENCE DEFICIENT IN ABSCISSION
AT1G68790	CRWN3	CROWDED NUCLEI 3
AT1G68790	LINC3	LITTLE NUCLEI3
AT1G68795	CLE12	CLAVATA3/ESR-RELATED 12
AT1G68800	BRC2	BRANCHED 2
AT1G68800	TCP12	TCP domain protein 12
AT1G68825	DVL5	DEVIL 5
AT1G68825	RTFL15	ROTUNDIFOLIA like 15
AT1G68830	STN7	STT7 homolog STN7
AT1G68840	AtRAV2	
AT1G68840	EDF2	ETHYLENE RESPONSE DNA BINDING FACTOR 2
AT1G68840	RAP2.8	RELATED TO AP2 8
AT1G68840	RAV2	related to ABI3/VP1 2
AT1G68840	TEM2	TEMPRANILLO 2
AT1G68870	ATSOFL2	SOB FIVE-LIKE 2
AT1G68870	SOFL2	SOB five-like 2
AT1G68880	AtbZIP	basic leucine-zipper 8
AT1G68880	bZIP	basic leucine-zipper 8
AT1G68890	PHYLLO	PHYLLO
AT1G68910	WIT2	WPP domain-interacting protein 2
AT1G68990	MGP3	male gametophyte defective 3
AT1G69010	BIM2	BES1-interacting Myc-like protein 2
AT1G69040	ACR4	ACT domain repeat 4
AT1G69120	AGL7	AGAMOUS-like 7
AT1G69120	AP1	APETALA1
AT1G69170	AtSPL6	
AT1G69170	SPL6	SQUAMOSA PROMOTER BINDING PROTEIN (SBP)-domain transcription factor 6
AT1G69180	CRC	CRABS CLAW
AT1G69200	FLN2	fructokinase-like 2
AT1G69220	SIK1	
AT1G69230	SP1L2	SPIRAL1-like2
AT1G69240	ATMES15	ARABIDOPSIS THALIANA METHYL ESTERASE 15
AT1G69240	MES15	methyl esterase 15
AT1G69240	RHS9	ROOT HAIR SPECIFIC 9
AT1G69260	AFP1	ABI five binding protein
AT1G69270	RPK1	receptor-like protein kinase 1
AT1G69295	PDCB4	plasmodesmata callose-binding protein 4
AT1G69310	ATWRKY57	
AT1G69310	WRKY57	WRKY DNA-binding protein 57
AT1G69320	CLE10	CLAVATA3/ESR-RELATED 10
AT1G69370	cm-3	
AT1G69370	CM3	chorismate mutase 3
AT1G69380	RRG	RETARDED ROOT GROWTH
AT1G69390	ARC12	accumulation and replication of chloroplasts 12
AT1G69390	ATMINE1	homologue of bacterial MinE 1
AT1G69390	MINE1	homologue of bacterial MinE 1
AT1G69410	ATELF5A-3	EUKARYOTIC ELONGATION FACTOR 5A-3
AT1G69410	ELF5A-3	eukaryotic elongation factor 5A-3
AT1G69440	AGO7	ARGONAUTE7
AT1G69440	ZIP	ZIPPY
AT1G69490	ANAC029	Arabidopsis NAC domain containing protein 29
AT1G69490	ATNAP	NAC-LIKE, ACTIVATED BY AP3/PI
AT1G69490	NAP	NAC-like, activated by AP3/PI
AT1G69500	CYP704B1	"cytochrome P450, family 704, subfamily B, polypeptide 1"
AT1G69530	AT-EXP1	
AT1G69530	ATEXP1	
AT1G69530	ATEXPA1	expansin A1
AT1G69530	ATHEXP ALPHA 1.2	
AT1G69530	EXP1	EXPANSIN 1
AT1G69530	EXPA1	expansin A1
AT1G69540	AGL94	AGAMOUS-like 94
AT1G69560	ATMYB105	MYB DOMAIN PROTEIN 105
AT1G69560	LOF2	LATERAL ORGAN FUSION 2
AT1G69560	MYB105	myb domain protein 105
AT1G69588	CLE45	CLAVATA3/ESR-RELATED 45
AT1G69600	ATHB29	ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 29
AT1G69600	ZFHD1	zinc finger homeodomain  1
AT1G69600	ZHD11	ZINC FINGER HOMEODOMAIN 11
AT1G69620	RPL34	ribosomal protein L34
AT1G69640	SBH1	sphingoid base hydroxylase 1
AT1G69670	ATCUL3B	ARABIDOPSIS THALIANA CULLIN 3B
AT1G69670	CUL3B	cullin 3B
AT1G69690	AtTCP15	
AT1G69690	TCP15	TEOSINTE BRANCHED1/CYCLOIDEA/PCF 15
AT1G69700	ATHVA22C	HVA22 homologue C
AT1G69700	HVA22C	HVA22 homologue C
AT1G69720	HO3	heme oxygenase 3
AT1G69740	HEMB1	
AT1G69750	ATCOX19-2	A. THALIANA CYTOCHROME C OXIDASE 19-2
AT1G69750	COX19-2	cytochrome c oxidase 19-2
AT1G69770	CMT3	chromomethylase 3
AT1G69780	ATHB13	
AT1G69792	MIR395	MICRORNA 395
AT1G69792	MIR395D	microRNA395D
AT1G69795	MIR395	MICRORNA 395
AT1G69795	MIR395E	microRNA395E
AT1G69797	MIR395	MICRORNA 395
AT1G69797	MIR395F	microRNA395F
AT1G69810	ATWRKY36	
AT1G69810	WRKY36	WRKY DNA-binding protein 36
AT1G69820	GGT3	gamma-glutamyl transpeptidase 3
AT1G69820	GGT4	gamma-glutamyl transpeptidase 4
AT1G69830	AMY3	alpha-amylase-like 3
AT1G69830	ATAMY3	ALPHA-AMYLASE-LIKE 3
AT1G69850	AIT1	ABA-importing transporter 1
AT1G69850	ATNRT1:2	nitrate transporter 1:2
AT1G69850	NRT1.2	
AT1G69850	NRT1:2	nitrate transporter 1:2
AT1G69850	NTL1	
AT1G69870	NRT1.7	nitrate transporter 1.7
AT1G69880	ATH8	thioredoxin H-type 8
AT1G69880	TH8	thioredoxin H-type 8
AT1G69920	ATGSTU12	ARABIDOPSIS THALIANA GLUTATHIONE S-TRANSFERASE TAU 12
AT1G69920	GSTU12	glutathione S-transferase TAU 12
AT1G69930	ATGSTU11	glutathione S-transferase TAU 11
AT1G69930	GSTU11	glutathione S-transferase TAU 11
AT1G69935	SHW1	SHORT HYPOCOTYL IN WHITE LIGHT1
AT1G69940	ATPPME1	
AT1G69940	PPME1	
AT1G69960	PP2A	serine/threonine protein phosphatase 2A
AT1G69970	CLE26	CLAVATA3/ESR-RELATED 26
AT1G70060	SNL4	SIN3-like 4
AT1G70070	EMB25	EMBRYO DEFECTIVE 25
AT1G70070	ISE2	INCREASED SIZE EXCLUSION LIMIT 2
AT1G70070	PDE317	PIGMENT DEFECTIVE 317
AT1G70090	GATL9	GALACTURONOSYLTRANSFERASE-LIKE 9
AT1G70090	LGT8	glucosyl transferase family 8
AT1G70140	ATFH8	formin 8
AT1G70140	FH8	formin 8
AT1G70170	MMP	matrix metalloproteinase
AT1G70210	ATCYCD1;1	
AT1G70210	CYCD1;1	CYCLIN D1;1
AT1G70230	AXY4	ALTERED XYLOGLUCAN 4
AT1G70230	TBL27	TRICHOME BIREFRINGENCE-LIKE 27
AT1G70260	UMAMIT36	Usually multiple acids move in and out Transporters 36
AT1G70290	ATTPS8	
AT1G70290	ATTPSC	
AT1G70290	TPS8	trehalose-6-phosphatase synthase S8
AT1G70300	KUP6	K+ uptake permease 6
AT1G70310	SPDS2	spermidine synthase 2
AT1G70320	UPL2	ubiquitin-protein ligase 2
AT1G70330	ENT1	equilibrative nucleotide transporter 1
AT1G70330	ENT1,AT	equilibrative nucleotide transporter 1
AT1G70370	PG2	polygalacturonase 2
AT1G70410	ATBCA4	BETA CARBONIC ANHYDRASE 4
AT1G70410	BCA4	beta carbonic anhydrase 4
AT1G70410	CA4	BETA CARBONIC ANHYDRASE 4
AT1G70440	SRO3	similar to RCD one 3
AT1G70460	AtPERK13	proline-rich extensin-like receptor kinase 13
AT1G70460	PERK13	proline-rich extensin-like receptor kinase 13
AT1G70460	RHS10	root hair specific 10
AT1G70490	ARFA1D	
AT1G70490	ATARFA1D	
AT1G70510	ATK1	ARABIDOPSIS THALIANA KN 1
AT1G70510	KNAT2	KNOTTED-like from Arabidopsis thaliana 2
AT1G70520	ASG6	ALTERED SEED GERMINATION 6
AT1G70520	CRK2	cysteine-rich RLK (RECEPTOR-like protein kinase) 2
AT1G70530	CRK3	cysteine-rich RLK (RECEPTOR-like protein kinase) 3
AT1G70540	EDA24	embryo sac development arrest 24
AT1G70560	CKRC1	cytokinin induced root curling 1
AT1G70560	SAV3	SHADE AVOIDANCE 3
AT1G70560	TAA1	tryptophan aminotransferase of Arabidopsis 1
AT1G70560	WEI8	WEAK ETHYLENE INSENSITIVE 8
AT1G70580	AOAT2	alanine-2-oxoglutarate aminotransferase 2
AT1G70580	GGT2	GLUTAMATE:GLYOXYLATE AMINOTRANSFERASE 2
AT1G70610	ABCB26	ATP-binding cassette B26
AT1G70610	ATTAP1	transporter associated with antigen processing protein 1
AT1G70610	TAP1	transporter associated with antigen processing protein 1
AT1G70630	RAY1	REDUCED ARABINOSE YARIV 1
AT1G70645	MIR777A	microRNA777A
AT1G70660	MMZ2	MMS ZWEI homologue 2
AT1G70660	UEV1B	UBIQUITIN E2 VARIANT 1B
AT1G70670	AtCLO4	Arabidopsis thaliana caleosin 4
AT1G70670	CLO4	caleosin 4
AT1G70670	PXG4	peroxygenase 4
AT1G70690	HWI1	HOPW1-1-INDUCED GENE1
AT1G70690	PDLP5	PLASMODESMATA-LOCATED PROTEIN 5
AT1G70700	JAZ9	JASMONATE-ZIM-DOMAIN PROTEIN 9
AT1G70700	TIFY7	
AT1G70710	ATGH9B1	glycosyl hydrolase 9B1
AT1G70710	CEL1	CELLULASE 1
AT1G70710	GH9B1	glycosyl hydrolase 9B1
AT1G70730	PGM2	phosphoglucomutase 2
AT1G70760	CRR23	CHLORORESPIRATORY REDUCTION 23
AT1G70760	NdhL	NADH dehydrogenase-like complex L
AT1G70782	CPuORF28	conserved peptide upstream open reading frame 28
AT1G70800	EHB1	ENHANCED BENDING 1
AT1G70830	MLP28	MLP-like protein 28
AT1G70840	MLP31	MLP-like protein 31
AT1G70850	MLP34	MLP-like protein 34
AT1G70890	MLP43	MLP-like protein 43
AT1G70895	CLE17	CLAVATA3/ESR-RELATED 17
AT1G70910	DEP	DESPIERTO
AT1G70920	ATHB18	homeobox-leucine zipper protein 18
AT1G70920	HB18	homeobox-leucine zipper protein 18
AT1G70940	ATPIN3	ARABIDOPSIS PIN-FORMED 3
AT1G70940	PIN3	PIN-FORMED 3
AT1G70980	SYNC3	
AT1G71002	MIR858A	microRNA858A
AT1G71010	FAB1C	FORMS APLOID AND BINUCLEATE CELLS 1C
AT1G71030	ATMYBL2	ARABIDOPSIS MYB-LIKE 2
AT1G71030	MYBL2	MYB-like 2
AT1G71040	LPR2	Low Phosphate Root2
AT1G71050	HIPP20	heavy metal associated isoprenylated plant protein 20
AT1G71100	RSW10	RADIAL SWELLING 10
AT1G71120	GLIP6	GDSL-motif lipase/hydrolase 6
AT1G71130	CRF8	cytokinin response factor 8
AT1G71160	KCS7	3-ketoacyl-CoA synthase 7
AT1G71190	SAG18	senescence associated gene 18
AT1G71220	EBS1	EMS-mutagenized bri1 suppressor 1
AT1G71220	PSL2	PRIORITY IN SWEET LIFE 2
AT1G71220	UGGT	UDP-GLUCOSE:GLYCOPROTEIN GLUCOSYLTRANSFERASE
AT1G71230	AJH2	
AT1G71230	CSN5	
AT1G71230	CSN5B	COP9-signalosome 5B
AT1G71260	ATWHY2	WHIRLY 2
AT1G71260	WHY2	WHIRLY 2
AT1G71270	ATVPS52	ARABIDOPSIS THALIANA VPS52 HOMOLOG
AT1G71270	POK	POKY POLLEN TUBE
AT1G71270	TTD8	T-DNA TRANSMISSION DEFECT 8
AT1G71310	ODB1	Organellar DNA-Binding protein 1
AT1G71310	RAD52-1	radiation sensitive 51-1
AT1G71310	RAD52-1A	
AT1G71310	RAD52-1B.1	
AT1G71310	RAD52-1B.2	
AT1G71330	ATNAP5	non-intrinsic ABC protein 5
AT1G71330	NAP5	non-intrinsic ABC protein 5
AT1G71340	AtGDPD4	
AT1G71340	GDPD4	glycerophosphodiester phosphodiesterase 4
AT1G71380	ATCEL3	cellulase 3
AT1G71380	ATGH9B3	ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9B3
AT1G71380	CEL3	cellulase 3
AT1G71390	AtRLP11	receptor like protein 11
AT1G71390	RLP11	receptor like protein 11
AT1G71400	AtRLP12	receptor like protein 12
AT1G71400	RLP12	receptor like protein 12
AT1G71440	PFI	PFIFFERLING
AT1G71440	TFC E	TUBULIN-FOLDING COFACTOR E
AT1G71692	AGL12	AGAMOUS-like 12
AT1G71692	XAL1	XAANTAL1
AT1G71696	SOL1	SUPPRESSOR OF LLP1 1
AT1G71697	ATCK1	choline kinase 1
AT1G71697	CK	CHOLINE KINASE
AT1G71697	CK1	choline kinase 1
AT1G71720	PDE338	PIGMENT DEFECTIVE 338
AT1G71720	RLSB	RbcL mRNA S1 binding domain protein
AT1G71750	HGPT	Hypoxanthine-guanine phosphoribosyltransferase
AT1G71770	PAB5	poly(A)-binding protein 5
AT1G71790	AtCPB	
AT1G71790	CPB	capping protein B
AT1G71800	CSTF64	cleavage stimulating factor 64
AT1G71820	SEC6	
AT1G71830	ATSERK1	SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 1
AT1G71830	SERK1	somatic embryogenesis receptor-like kinase 1
AT1G71860	ATPTP1	
AT1G71860	PTP1	protein tyrosine phosphatase 1
AT1G71880	ATSUC1	ARABIDOPSIS THALIANA SUCROSE-PROTON SYMPORTER 1
AT1G71880	SUC1	sucrose-proton symporter 1
AT1G71890	ATSUC5	SUCROSE-PROTON SYMPORTER 5
AT1G71890	SUC5	
AT1G71920	HISN6B	HISTIDINE BIOSYNTHESIS 6B
AT1G71930	ANAC030	Arabidopsis NAC domain containing protein 30
AT1G71930	VND7	vascular related NAC-domain protein 7
AT1G71960	ABCG25	ATP-binding casette G25
AT1G71960	ATABCG25	Arabidopsis thaliana ATP-binding cassette G25
AT1G71990	ATFT4	ARABIDOPSIS FUCOSYLTRANSFERASE 4
AT1G71990	ATFUT13	
AT1G71990	FT4-M	
AT1G71990	FUCTC	
AT1G71990	FUT13	fucosyltransferase 13
AT1G72000	A/N-InvF	alkaline/neutral invertase F
AT1G72040	AtdNK	
AT1G72040	dNK	deoxyribonucleoside kinase
AT1G72050	TFIIIA	transcription factor IIIA
AT1G72150	PATL1	PATELLIN 1
AT1G72260	THI2.1	thionin 2.1
AT1G72260	THI2.1.1	
AT1G72280	AERO1	endoplasmic reticulum oxidoreductins 1
AT1G72280	ERO1	endoplasmic reticulum oxidoreductins 1
AT1G72300	PSY1R	PSY1 receptor
AT1G72310	ATL3	
AT1G72320	APUM23	pumilio 23
AT1G72320	PUM23	pumilio 23
AT1G72330	ALAAT2	alanine aminotransferase 2
AT1G72360	AtERF73	
AT1G72360	ERF73	ethylene response factor 73
AT1G72360	HRE1	HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 1
AT1G72370	AP40	
AT1G72370	P40	40s ribosomal protein SA
AT1G72370	RP40	
AT1G72370	RPSAA	
AT1G72440	EDA25	embryo sac development arrest 25
AT1G72440	SWA2	SLOW WALKER2
AT1G72450	JAZ6	jasmonate-zim-domain protein 6
AT1G72450	TIFY11B	TIFY DOMAIN PROTEIN 11B
AT1G72470	ATEXO70D1	exocyst subunit exo70 family protein D1
AT1G72470	EXO70D1	exocyst subunit exo70 family protein D1
AT1G72520	ATLOX4	Arabidopsis thaliana lipoxygenase 4
AT1G72520	LOX4	lipoxygenase 4
AT1G72530	RIP7	RNA edi7ting-Interacting Protein
AT1G72560	PSD	PAUSED
AT1G72610	ATGER1	A. THALIANA GERMIN-LIKE PROTEIN 1
AT1G72610	GER1	germin-like protein 1
AT1G72610	GLP1	GERMIN-LIKE PROTEIN 1
AT1G72630	ELF4-L2	ELF4-like 2
AT1G72650	TRFL6	TRF-like 6
AT1G72670	iqd8	IQ-domain 8
AT1G72680	ATCAD1	CINNAMYL ALCOHOL DEHYDROGENASE 1
AT1G72680	CAD1	cinnamyl-alcohol dehydrogenase
AT1G72710	CKL2	casein kinase 1-like protein 2
AT1G72750	ATTIM23-2	translocase inner membrane subunit 23-2
AT1G72750	TIM23-2	translocase inner membrane subunit 23-2
AT1G72770	AtHAB1	
AT1G72770	HAB1	HYPERSENSITIVE TO ABA1
AT1G72830	ATHAP2C	
AT1G72830	HAP2C	
AT1G72830	NF-YA3	"nuclear factor Y, subunit A3"
AT1G72930	AtTN10	
AT1G72930	TIR	toll/interleukin-1 receptor-like
AT1G72930	TN10	TIR-nucleotide binding site family 10
AT1G72970	EDA17	embryo sac development arrest 17
AT1G72970	HTH	HOTHEAD
AT1G72980	LBD7	LOB domain-containing protein 7
AT1G72990	BGAL17	beta-galactosidase 17
AT1G73000	PYL3	PYR1-like 3
AT1G73000	RCAR13	regulatory components of ABA receptor 13
AT1G73010	AtPPsPase1	pyrophosphate-specific phosphatase1
AT1G73010	ATPS2	phosphate starvation-induced gene 2
AT1G73010	PPsPase1	pyrophosphate-specific phosphatase1
AT1G73010	PS2	phosphate starvation-induced gene 2
AT1G73030	CHMP1A	CHARGED MULTIVESICULAR BODY PROTEIN/CHROMATIN MODIFYING  PROTEIN1A
AT1G73030	VPS46.2	
AT1G73060	LPA3	Low  PSII Accumulation 3
AT1G73080	ATPEPR1	PEP1 RECEPTOR 1
AT1G73080	PEPR1	PEP1 receptor 1
AT1G73100	SDG19	SET DOMAIN PROTEIN 19
AT1G73100	SUVH3	SU(VAR)3-9 homolog 3
AT1G73140	TBL31	
AT1G73150	GTE3	global transcription factor group E3
AT1G73165	CLE1	CLAVATA3/ESR-RELATED 1
AT1G73177	APC13	anaphase-promoting complex 13
AT1G73177	BNS	BONSAI
AT1G73190	ALPHA-TIP	ALPHA-TONOPLAST INTRINSIC PROTEIN
AT1G73190	TIP3;1	
AT1G73220	AtOCT1	organic cation/carnitine transporter1
AT1G73220	OCT1	organic cation/carnitine transporter1
AT1G73250	ATFX	ACTIVATING TRANSCRIPTION FACTOR 5
AT1G73250	GER1	"GDP-4-keto-6-deoxymannose-3,5-epimerase-4-reductase 1"
AT1G73260	ATKTI1	ARABIDOPSIS THALIANA KUNITZ TRYPSIN INHIBITOR 1
AT1G73260	KTI1	kunitz trypsin inhibitor 1
AT1G73270	scpl6	serine carboxypeptidase-like 6
AT1G73280	scpl3	serine carboxypeptidase-like 3
AT1G73290	scpl5	serine carboxypeptidase-like 5
AT1G73300	scpl2	serine carboxypeptidase-like 2
AT1G73310	scpl4	serine carboxypeptidase-like 4
AT1G73330	ATDR4	drought-repressed 4
AT1G73330	DR4	drought-repressed 4
AT1G73360	AtEDT1	
AT1G73360	ATHDG11	HOMEODOMAIN GLABROUS 11
AT1G73360	EDT1	ENHANCED DROUGHT TOLERANCE 1
AT1G73360	HDG11	homeodomain GLABROUS 11
AT1G73370	ATSUS6	ARABIDOPSIS THALIANA SUCROSE SYNTHASE 6
AT1G73370	SUS6	sucrose synthase 6
AT1G73410	ATMYB54	ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 54
AT1G73410	MYB54	myb domain protein 54
AT1G73500	ATMKK9	
AT1G73500	MKK9	MAP kinase kinase 9
AT1G73540	atnudt21	nudix hydrolase homolog 21
AT1G73540	NUDT21	nudix hydrolase homolog 21
AT1G73590	ATPIN1	ARABIDOPSIS THALIANA PIN-FORMED 1
AT1G73590	PIN1	PIN-FORMED 1
AT1G73602	CPuORF32	conserved peptide upstream open reading frame 32
AT1G73603	LCR64	low-molecular-weight cysteine-rich 64
AT1G73607	LCR65	low-molecular-weight cysteine-rich 65
AT1G73640	AtRABA6a	RAB GTPase homolog A6A
AT1G73640	RABA6a	RAB GTPase homolog A6A
AT1G73670	ATMPK15	MAP kinase 15
AT1G73670	MPK15	MAP kinase 15
AT1G73680	ALPHA DOX2	alpha dioxygenase
AT1G73680	alpha-DOX2	alpha-dioxygenase 2
AT1G73687	MIR159	MICRORNA 159
AT1G73687	MIR159A	microRNA159A
AT1G73690	AT;CDKD;1	CYCLIN-DEPENDENT KINASE D1
AT1G73690	CAK3AT	
AT1G73690	CDKD1;1	cyclin-dependent kinase D1;1
AT1G73720	SMU1	SUPPRESSORS OF MEC-8 AND UNC-52 1
AT1G73730	AtEIL3	
AT1G73730	ATSLIM	ARABIDOPSIS THALIANA SULFUR LIMITATION 1
AT1G73730	EIL3	ETHYLENE-INSENSITIVE3-like 3
AT1G73730	SLIM1	SULFUR LIMITATION 1
AT1G73790	AtGIP2	
AT1G73790	GIP1b	GCP3-Interacting Protein 1b
AT1G73790	GIP2	GCP3-interacting protein 2
AT1G73805	SARD1	SAR Deficient 1
AT1G73830	BEE3	BR enhanced expression 3
AT1G73840	ESP1	ENHANCED SILENCING PHENOTYPE 1
AT1G73870	BBX16	B-box domain protein 16
AT1G73870	COL7	CONSTANS-LIKE 7
AT1G73880	UGT89B1	UDP-glucosyl transferase 89B1
AT1G73910	ARP4A	actin-related proteins 4A
AT1G73910	ATARP4A	actin-related proteins 4A
AT1G73960	TAF2	TBP-associated factor 2
AT1G73965	CLE13	CLAVATA3/ESR-RELATED 13
AT1G73990	SPPA	signal peptide peptidase
AT1G73990	SPPA1	
AT1G74000	SS3	strictosidine synthase 3
AT1G74020	SS2	strictosidine synthase 2
AT1G74030	ENO1	enolase 1
AT1G74040	IMS1	2-isopropylmalate synthase 1
AT1G74040	IPMS2	SOPROPYLMALATE SYNTHASE 2
AT1G74040	MAML-3	
AT1G74045	TET17	tetraspanin 17
AT1G74080	ATMYB122	MYB DOMAIN PROTEIN 122
AT1G74080	MYB122	myb domain protein 122
AT1G74090	ATSOT18	DESULFO-GLUCOSINOLATE SULFOTRANSFERASE 18
AT1G74090	ATST5B	ARABIDOPSIS SULFOTRANSFERASE 5B
AT1G74090	SOT18	desulfo-glucosinolate sulfotransferase 18
AT1G74100	ATSOT16	SULFOTRANSFERASE 16
AT1G74100	ATST5A	ARABIDOPSIS SULFOTRANSFERASE 5A
AT1G74100	CORI-7	CORONATINE INDUCED-7
AT1G74100	SOT16	sulfotransferase 16
AT1G74110	CYP78A10	"cytochrome P450, family 78, subfamily A, polypeptide 10"
AT1G74160	TRM4	TON1 Recruiting Motif 4
AT1G74170	AtRLP13	receptor like protein 13
AT1G74170	RLP13	receptor like protein 13
AT1G74180	AtRLP14	receptor like protein 14
AT1G74180	RLP14	receptor like protein 14
AT1G74190	AtRLP15	receptor like protein 15
AT1G74190	RLP15	receptor like protein 15
AT1G74200	AtRLP16	receptor like protein 16
AT1G74200	RLP16	receptor like protein 16
AT1G74210	AtGDPD5	
AT1G74210	GDPD5	glycerophosphodiester phosphodiesterase 5
AT1G74230	GR-RBP5	glycine-rich RNA-binding protein 5
AT1G74260	PUR4	purine biosynthesis 4
AT1G74310	ATHSP101	heat shock protein 101
AT1G74310	HOT1	
AT1G74310	HSP101	heat shock protein 101
AT1G74340	DPMS2	dolichol phosphate mannose synthase 2
AT1G74380	XXT5	xyloglucan xylosyltransferase 5
AT1G74420	ATFUT3	
AT1G74420	FUT3	fucosyltransferase 3
AT1G74430	ATMYB95	ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 95
AT1G74430	ATMYBCP66	ARABIDOPSIS THALIANA MYB DOMAIN CONTAINING PROTEIN 66
AT1G74430	MYB95	myb domain protein 95
AT1G74480	AtRKD2	
AT1G74480	RKD2	RWP-RK domain containing 2
AT1G74480	URP4	UAS-TAGGED ROOT PATTERNING4
AT1G74500	ATBS1	activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1
AT1G74500	bHLH135	basic helix-loop-helix protein 135
AT1G74500	BS1	activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1
AT1G74500	PRE3	PACLOBUTRAZOL RESISTANCE 3
AT1G74500	TMO7	TARGET OF MONOPTEROS 7
AT1G74520	ATHVA22A	HVA22 homologue A
AT1G74520	HVA22A	HVA22 homologue A
AT1G74540	CYP98A8	cytochrome P450, family 98, subfamily A, polypeptide 8
AT1G74550	CYP98A9	cytochrome P450, family 98, subfamily A, polypeptide 9
AT1G74560	NRP1	NAP1-related protein 1
AT1G74590	ATGSTU10	GLUTATHIONE S-TRANSFERASE TAU 10
AT1G74590	GSTU10	glutathione S-transferase TAU 10
AT1G74600	OTP87	organelle transcript processing 87
AT1G74650	ATMYB31	ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 31
AT1G74650	ATY13	
AT1G74650	MYB31	myb domain protein 31
AT1G74660	MIF1	mini zinc finger 1
AT1G74670	GASA6	GA-stimulated Arabidopsis 6
AT1G74690	IQD31	IQ-domain 31
AT1G74700	NUZ	
AT1G74700	TRZ1	tRNAse Z1
AT1G74710	ATICS1	ARABIDOPSIS ISOCHORISMATE SYNTHASE 1
AT1G74710	EDS16	ENHANCED DISEASE SUSCEPTIBILITY TO ERYSIPHE ORONTII 16
AT1G74710	ICS1	ISOCHORISMATE SYNTHASE 1
AT1G74710	SID2	SALICYLIC ACID INDUCTION DEFICIENT 2
AT1G74720	QKY	QUIRKY
AT1G74740	ATCPK30	
AT1G74740	CDPK1A	CALCIUM-DEPENDENT PROTEIN KINASE 1A
AT1G74740	CPK30	calcium-dependent protein kinase 30
AT1G74810	BOR5	
AT1G74850	PDE343	PIGMENT DEFECTIVE 343
AT1G74850	PTAC2	plastid transcriptionally active 2
AT1G74880	NDH-O	NAD(P)H:plastoquinone dehydrogenase complex subunit O
AT1G74880	NdhO	NADH dehydrogenase-like complex )
AT1G74890	ARR15	response regulator 15
AT1G74900	OTP43	organelle transcript processing defect 43
AT1G74920	ALDH10A8	aldehyde dehydrogenase 10A8
AT1G74930	ORA47	
AT1G74950	JAZ2	JASMONATE-ZIM-DOMAIN PROTEIN 2
AT1G74950	TIFY10B	
AT1G74960	ATKAS2	ARABIDOPSIS BETA-KETOACYL-ACP SYNTHETASE 2
AT1G74960	FAB1	fatty acid biosynthesis 1
AT1G74960	KAS2	BETA-KETOACYL-ACP SYNTHETASE 2
AT1G74970	RPS9	ribosomal protein S9
AT1G74970	TWN3	
AT1G75010	ARC3	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 3
AT1G75020	LPAT4	lysophosphatidyl acyltransferase 4
AT1G75030	ATLP-3	thaumatin-like protein 3
AT1G75030	TLP-3	thaumatin-like protein 3
AT1G75040	PR-5	
AT1G75040	PR5	pathogenesis-related gene 5
AT1G75080	BZR1	BRASSINAZOLE-RESISTANT 1
AT1G75100	JAC1	J-domain protein required for chloroplast accumulation response 1
AT1G75110	RRA2	REDUCED RESIDUAL ARABINOSE 2
AT1G75120	RRA1	REDUCED RESIDUAL ARABINOSE 1
AT1G75130	CYP721A1	"cytochrome P450, family 721, subfamily A, polypeptide 1"
AT1G75220	AtERDL6	
AT1G75220	ERDL6	ERD6-like 6
AT1G75240	AtHB33	homeobox protein 33
AT1G75240	HB33	homeobox protein 33
AT1G75240	ZHD5	zinc-finger homeodomain 5
AT1G75250	ATRL6	RAD-like 6
AT1G75250	RL6	RAD-like 6
AT1G75250	RSM3	RADIALIS-LIKE SANT/MYB 3
AT1G75270	DHAR2	dehydroascorbate reductase 2
AT1G75310	AUL1	auxilin-like 1
AT1G75330	OTC	ornithine carbamoyltransferase
AT1G75350	emb2184	embryo defective 2184
AT1G75380	ATBBD1	bifunctional nuclease in basal defense response 1
AT1G75380	BBD1	bifunctional nuclease in basal defense response 1
AT1G75388	CPuORF5	conserved peptide upstream open reading frame 5
AT1G75390	AtbZIP44	basic leucine-zipper 44
AT1G75390	bZIP44	basic leucine-zipper 44
AT1G75410	BLH3	BEL1-like homeodomain 3
AT1G75430	BLH11	BEL1-like homeodomain 11
AT1G75440	UBC16	ubiquitin-conjugating enzyme 16
AT1G75450	ATCKX5	ARABIDOPSIS THALIANA CYTOKININ OXIDASE 5
AT1G75450	ATCKX6	CYTOKININ OXIDASE 6
